id,name,country,url,verdict,http,final_domain,title,note
10455,Universiti Teknologi Brunei,Brunei Darussalam,https://www.utb.edu.bn/,ok,200,utb.edu.bn,Universiti Teknologi Brunei,"page names: brunei, teknologi, universiti"
10438,Universiti Teknologi MARA - UiTM,Malaysia,https://www.uitm.edu.my/en/,ok,200,uitm.edu.my,Universiti Teknologi MARA,"page names: mara, teknologi, uitm, universiti"
10328,Universiti Teknologi Petronas (UTP),Malaysia,https://www.utp.edu.my/Pages/Home.aspx,ok,200,utp.edu.my,Universiti Teknologi PETRONAS,"page names: petronas, teknologi, universiti, utp"
10393,University at Buffalo SUNY,United States,https://www.buffalo.edu/,ok,200,buffalo.edu,Welcome to the University at Buffalo - University at Buffalo,"page names: buffalo, suny"
10338,University of Antwerp,Belgium,https://www.uantwerpen.be/en/,ok,200,uantwerpen.be,UAntwerp | University of Antwerp,page names: antwerp
10482,"University of Chemistry and Technology, Prague",Czechia,https://www.vscht.cz/?jazyk=en,ok,200,vscht.cz,"Homepage - University of Chemistry and Technology, Prague","page names: chemistry, prague"
10364,University of Chinese Academy of Sciences (UCAS),China,https://english.ucas.ac.cn/,ok,200,ac.cn,Home - University of Chinese Academy of Sciences,"page names: academy, chinese, ucas"
10466,University of Eastern Finland,Finland,https://www.uef.fi/en,ok,200,uef.fi,University of Eastern Finland - www.uef.fi,"page names: eastern, finland"
10339,University of Galway / Ollscoil na Gaillimhe,Ireland,https://www.universityofgalway.ie/,ok,200,universityofgalway.ie,University of Galway - University of Galway,"page names: gaillimhe, galway, ollscoil"
10307,University of Gothenburg,Sweden,https://www.gu.se/en,ok,200,gu.se,Home | University of Gothenburg,page names: gothenburg
10386,University of Kent,United Kingdom,https://www.kent.ac.uk/,ok,200,kent.ac.uk,Your Kent Start - University of Kent,page names: kent
10451,University of Minho,Portugal,https://www.uminho.pt/EN,ok,200,uminho.pt,University of Minho,page names: minho
10511,"University of Missouri, Columbia",United States,https://missouri.edu/,ok,200,missouri.edu,Homepage | Mizzou,"page names: columbia, missouri"
10552,University of Mons,Belgium,https://web.umons.ac.be/en/,ok,200,umons.ac.be,Home - Université de Mons,page names: mons
10360,University of Münster,Germany,https://www.uni-muenster.de/en/,ok,200,uni-muenster.de,University of Münster,page names: munster
10322,University of Padova,Italy,https://www.unipd.it/en,ok,200,unipd.it,home | Università di Padova,page names: padova
10324,University of Porto,Portugal,https://www.up.pt/portal/en/,ok,200,up.pt,University of Porto,page names: porto
10346,University of Southern Denmark,Denmark,https://www.sdu.dk/en/,ok,200,sdu.dk,"University of Southern Denmark, SDU","page names: denmark, southern"
10485,"University of Tromso, The Arctic University of Norway",Norway,https://en.uit.no/startsida,ok,200,uit.no,UiT The Arctic University of Norway | UiT,"page names: arctic, norway"
